Census Tract,2013-2017
36047043600,45653.37092
36047043700,47580.43457
36047043800,42918.1838
36047043900,54085.16607
36047044000,45818.46045
36047044100,53859.95133
36047044200,73218.22795
36047044300,51495.70614
36047044400,49050.95432
36047044500,58702.5777
36047044600,61197.26401
36047044700,50953.56026
36047044800,53359.58737
36047044900,28170.18532
36047045000,44584.36522
36047045200,78023.14868
36047045300,54138.15777
36047045400,59870.4333
36047045600,34393.65317
36047045800,73649.29507
36047046000,52510.70106
36047046201,25172.07784
36047046202,53743.77722
36047046400,59377.20284
36047046800,44584.36522
36047047000,47132.04324
36047047200,52948.90168
36047047400,51863.59084
36047047600,36249.38184
36047047700,103544.7679
36047047800,42514.63161
36047048000,31243.70408
36047048100,78144.41815
36047048200,42358.71371
36047048400,51112.53536
36047048500,100952.2508
36047048600,48896.05549
36047048800,49148.78515
36047048900,17852.08937
36047049000,52268.16211
36047049100,39132.33428
36047049200,47869.85079
36047049300,33287.96092
36047049400,51780.027
36047049500,89323.62927
36047049600,75014.85048
36047049700,86680.15857
36047049800,78858.78707
36047049900,80410.83251
36047050000,87003.20414
36047050100,97595.43024
36047050202,100483.478
36047050300,85463.38755
36047050400,83506.77083
36047050500,33374.58197
36047050600,52036.83295
36047050700,41040.03557
36047050801,48660.65004
36047050803,45945.84435
36047050804,52056.1953
36047050900,36795.604
36047051001,51925.75419
36047051002,49186.49079
36047051100,36431.79558
36047051200,42363.80907
36047051300,84307.7608
36047051400,49368.90453
36047051500,136046.0059
36047051601,53055.90415
36047051602,56636.92037
36047051700,108209.0568
36047051800,61513.17608
36047051900,125785.997
36047052000,60273.9855
36047052300,43726.30727
36047052500,36246.32462
36047052600,66828.65149
36047052700,52917.31047
36047052800,85115.88427
36047052900,38422.04165
36047053000,40264.52239
36047053100,36915.85441
36047053200,65124.76443
36047053300,26981.9483
36047053400,33119.81417
36047053500,27542.43746
36047053700,33591.64413
36047053800,33467.31745
36047053900,22072.06323
36047054200,42005.096
36047054300,133753.0957
36047054400,50027.22453
36047054500,19522.34708
36047054600,49904.93599
36047054700,36904.64462
36047054800,64190.27614
36047054900,90942.93342
36047055000,61723.10475
36047055100,76360.02447
36047055200,52077.5958
36047055300,100760.6654
36047055400,50528.60756
36047055500,139295.824
36047055600,66712.47737
36047055700,89027.07955
36047055800,55973.50501
36047056000,52564.71183
36047056100,85729.36513
36047056200,56813.21969
36047056300,70910.03167
36047056400,91653.22605
36047056500,98987.48151
36047056600,67712.18622
36047056800,86303.10222
36047056900,83248.94582
36047057000,63214.00593
36047057100,58712.76841
36047057200,18659.19377
36047057300,84020.38272
36047057400,95537.92548
36047057500,74041.63748
36047057600,77217.06335
36047057800,53848.74155
36047057900,57322.75529
36047058000,44372.39841
36047058200,50698.79245
36047058400,55411.99678
36047058600,67347.35873
36047058800,66309.94425
36047058900,83609.69702
36047059000,49467.75444
36047059100,94537.19756
36047059200,62145.00023
36047059300,69606.63959
36047059401,56531.95603
36047059402,73270.20058
36047059600,54311.39988
36047059800,68562.09161
36047060000,55706.50836
36081021900,0
36081022001,70181.39575
36081022002,62286.65113
36081022900,0
36081023000,109219.9755
36081023200,72077.88727
36081023500,51232.78577
36081023600,59157.08346
36081023800,46771.29203
36081024000,44425.39012
36047060600,51463.09586
36047060800,52085.74837
36047061002,66529.04456
36047061003,53153.73499
36047061004,25212.84069
36047061200,88611.2985
36047061600,85453.19683
36047062000,122118.3597
36047062200,70551.3186
36047062600,56897.8026
36047062800,74012.08441
36047063200,75666.03698
36047063600,108008.2998
36047063800,107851.3629
36047064000,112007.1352
36047064200,55244.8691
36047064400,90442.56945
36047064600,96750.62021
36047064800,79592.51833
36047065000,65730.09273
36047065200,93596.59483
36047065400,91807.1058
36047065600,78802.73815
36047065800,82958.51052
36047066000,102903.7722
36047066200,86366.28463
36047066600,0
36047067000,81950.6491
36047067200,71530.64603
36047067400,80888.77691
36047067600,84972.19523
36047067800,90070.60846
36047068000,76332.50955
36047068200,101482.1678
36047068600,58694.42513
36047068800,92990.24747
36047069000,103074.9761
36047069200,109309.6537
36047069601,63649.14933
36047069602,89727.18147
36047069800,70698.06486
36047070000,60719.31961
36047070201,85267.72588
36047070202,0
36047070203,0
36047070600,100774.9324
